"","organismo","organismo_descripcion","email_oficial","fuero","circunscripcion","localidad","categoria","tipo","materia"
"1","jdocco0000dia","Jdo Civ y Com Lab","jdocyc-dia@jusentrerios.gov.ar","Civil y Comercial","Diamante","Diamante",NA,"jdo","cco|lab"
"2","jdocco0000fed","Jdo Civ y Com Lab Fam","jdocyc-fcion@jusentrerios.gov.ar","Civil y Comercial","Federación","Federación",NA,"jdo","cco|fam|lab"
"3","jdocco0000frl","Jdo Civ y Com Lab","jdocyc-fral@jusentrerios.gov.ar","Civil y Comercial","Federal","Federal",NA,"jdo","cco|lab"
"4","jdocco0000ssa","Jdo Civ y Com Lab Fam","jdocyclab-ssdor@jusentrerios.gov.ar","Civil y Comercial","San Salvador","San Salvador",NA,"jdo","cco|fam|lab"
"5","jdocco0000tal","Jdo Civ y Com -ccomp.Laboral","jdocyc-tala@jusentrerios.gov.ar","Civil y Comercial","Tala","Rosario del Tala",NA,"jdo","cco|lab"
"6","jdocco0000vic","Jdo Civ y Com -ccomp.Laboral","jdocyc-vic@jusentrerios.gov.ar","Civil y Comercial","Victoria","Victoria",NA,"jdo","cco|lab"
"7","jdocco0000vpa","Jdo Civ Com y Lab","jdomf-ibic@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Villa Paranacito",NA,"jdo","cco|fam|lab"
"8","jdocco0100cha","Jdo Civ y Com 1 -ccomp.Laboral","jdocyc-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",NA,"jdo","cco|lab"
"9","jdocco0100col","Jdo Civ y Com 1 -ccomp.Laboral","jdocyc1-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","cco|lab"
"10","jdocco0100con","Jdo Civ y Com 1","jdocyc1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco"
"11","jdocco0100gay","Jdo Civ y Com 1","jdocycs1-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",NA,"jdo","cco"
"12","jdocco0100gch","Jdo Civ y Com 1","jdocyc1-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","cco"
"13","jdocco0100lpa","Jdo Civ y Com 1 -ccomp.Laboral","jdocycs1-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",NA,"jdo","cco|lab"
"14","jdocco0100nog","Jdo Civ y Com 1 -ccomp.Laboral","jdocyc-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",NA,"jdo","cco|lab"
"15","jdocco0100pna","Jdo Civ y Com 1","jdocyc1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"16","jdocco0100uru","Jdo Civ y Com 1","jdocyc1s1-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","cco"
"17","jdocco0100vil","Jdo Civ y Com 1 -ccomp.Laboral","jdocycs1-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",NA,"jdo","cco|lab"
"18","jdocco0200cha","Jdo Civ y Com 2 -ccomp.Laboral","Jdocyc2-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",NA,"jdo","cco|lab"
"19","jdocco0200col","Jdo Civ y Com 2 -ccomp.Laboral","jdocyc2-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","cco|lab"
"20","jdocco0200con","Jdo Civ y Com 2","jdocyc2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco"
"21","jdocco0200gay","Jdo Civ y Com 2","jdocycs2-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",NA,"jdo","cco"
"22","jdocco0200gch","Jdo Civ y Com 2","jdocyc2-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","cco"
"23","jdocco0200lpa","Jdo Civ y Com 2 -ccomp.Laboral","jdocycs2-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",NA,"jdo","cco|lab"
"24","jdocco0200nog","Jdo Civ y Com 2 -ccomp.Laboral","jdocyc2-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",NA,"jdo","cco|lab"
"25","jdocco0200pna","Jdo Civ y Com 2","jdocyc2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"26","jdocco0200uru","Jdo Civ y Com 2","jdocyc2s3-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","cco"
"27","jdocco0200vil","Jdo Civ y Com 2 -ccomp.Laboral","jdocycs2-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",NA,"jdo","cco|lab"
"28","jdocco0300con","Jdo Civ y Com 3","jdocyc3-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco"
"29","jdocco0300gch","Jdo Civ y Com 3","jdocyc3-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","cco"
"30","jdocco0300pna","Jdo Civ y Com 3","jdocyc3-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"31","jdocco0301uru","Jdo Civ y Com 3 -sec.Proc.Ejecucion-","jdocyc3-pe@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","cco"
"32","jdocco0302uru","Jdo Civ y Com 3 -sec.Conc.yQuiebras-","jdocyc3-cyq@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","cco"
"33","jdocco0400con","Jdo Civ y Com 4","jdocyc4-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco"
"34","jdocco0400pna","Jdo Civ y Com 4","jdocyc4-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"35","jdocco0500pna","Jdo Civ y Com 5","jdocyc5-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"36","jdocco0501con","Jdo Civ y Com 5 C.Q. y Proc. Ejec -sec 1-","jdocyc5s1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco"
"37","jdocco0502con","Jdo Civ y Com 5 C.Q. y Proc. Ejec -sec 2-","jdocyc5s2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco"
"38","jdocco0600con","Jdo Civ y Com 6","jdolab5-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","cco"
"39","jdocco0600pna","Jdo Civ y Com 6","jdocyc6-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"40","jdocco0700pna","Jdo Civ y Com 7","jdocyc7-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"41","jdocco0800pna","Jdo Civ y Com 8","jdocyc8-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"42","jdocco0901pna","Jdo Civ y Com 9 Sec 1","jdocyc9-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"43","jdocco0902pna","Jdo Civ y Com 9 Sec 2","jdocyc9s2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"44","jdocco1001pna","Jdo Civ y Com 10 Sec 1","jdocyc10s1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"45","jdocco1002pna","Jdo Civ y Com 10 Sec 2","matencio@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","cco"
"46","jdofam0000cha","Jdo Fam","jdofamilia-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",NA,"jdo","fam|pen"
"47","jdofam0000dia","Jdo Fam Pen Niñ Ado","jdofliamen-dia@jusentrerios.gov.ar","Civil y Comercial","Diamante","Diamante",NA,"jdo","fam|pen"
"48","jdofam0000fel","Jdo Fam y Men","jdofliamen1-fel@jusentrerios.gov.ar","Civil y Comercial","Feliciano","Feliciano",NA,"jdo","fam|pen"
"49","jdofam0000frl","Juzgado de Familia y Menores","jdofamilia-fral@jusentrerios.gov.ar","Civil y Comercial","Federal","Federal",NA,"jdo","fam|pen"
"50","jdofam0000gay","Jdo Fam","jdofliamen-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",NA,"jdo","fam|pen"
"51","jdofam0000lpa","Jdo Fam Niñ Ado y Penal de Menores","jdofliamen1-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",NA,"jdo","fam|pen"
"52","jdofam0000nog","Jdo Fam y Pen Menores","jdofliamen-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",NA,"jdo","fam|pen"
"53","jdofam0000tal","Jdo Fam Pen Niñ Ado","jdofliamen-tala@jusentrerios.gov.ar","Civil y Comercial","Tala","Rosario del Tala",NA,"jdo","fam|pen"
"54","jdofam0000vic","Jdo Fam Pen Niñ Ado","jdofliapen-vic@jusentrerios.gov.ar","Civil y Comercial","Victoria","Victoria",NA,"jdo","fam|pen"
"55","jdofam0000vil","Jdo Fam y Menores","jdofliapen-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",NA,"jdo","fam|pen"
"56","jdofam0001col","Jdo Fam Pen Niñ Ado Sec 1","jdofliamens1-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","fam|pen"
"57","jdofam0001gch","Jdo Fam Pen Niñ Ado Sec 1","jdofliamens1-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","fam|pen"
"58","jdofam0100uru","Jdo Fam Pen Niñ Ado 1","jdofliamens1-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"jdo","fam|pen"
"59","jdofam0002col","Jdo Fam Pen Niñ Ado Sec 2","jdofliamens2-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",NA,"jdo","fam|pen"
"60","jdofam0002gch","Jdo Fam Pen Niñ Ado Sec 2","jdofliamens2-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"jdo","fam|pen"
"61","jdofam0100pna","Jdo Familia 1","jdofamilia1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam"
"62","jdofam0101con","Jdo Fam Pen Niñ Ado 1 -secr 1-","jdofliamen1s1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam"
"63","jdofam0102con","Jdo Fam Pen Niñ Ado 1 -secr 2-","jdofliamen1s2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam|pen"
"64","jdofam0200pna","Jdo Familia 2","jdofamilia2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam"
"65","jdofam0201con","Jdo Fam Pen Niñ Ado 2 -secr 1-","jdofliamen2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam"
"66","jdofam0202con","Jdo Fam Pen Niñ Ado 2 -secr 2 -","jdofliamen1s2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"jdo","fam|pen"
"67","jdofam0300pna","Jdo Familia 3","jdofamilia3-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam"
"68","jdofam0400pna","Jdo Familia 4","jdofamilia4-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"jdo","fam"
"69","jdolab0000gay","Jdo Laboral","jdolaboral-gua@jusentrerios.gov.ar","Laboral","Gualeguay","Gualeguay",NA,"jdo","lab"
"70","jdolab0100gch","Jdo Laboral 1","jdolab1-gchu@jusentrerios.gov.ar","Laboral","Gualeguaychú","Gualeguaychú",NA,"jdo","lab"
"71","jdolab0100pna","Jdo Laboral 1","jdolab1-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab"
"72","jdolab0100uru","Jdo Laboral 1","jdolab1-uru@jusentrerios.gov.ar","Laboral","Uruguay","Concepción del Uruguay",NA,"jdo","lab"
"73","jdolab0200con","Jdo Laboral 2","jdolab2-con@jusentrerios.gov.ar","Laboral","Concordia","Concordia",NA,"jdo","lab"
"74","jdolab0200gch","Jdo Laboral 2","jdolab2-gchu@jusentrerios.gov.ar","Laboral","Gualeguaychú","Gualeguaychú",NA,"jdo","lab"
"75","jdolab0200pna","Jdo Laboral 2","jdolab2-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab"
"76","jdolab0200uru","Jdo Laboral 2","jdolab2-uru@jusentrerios.gov.ar","Laboral","Uruguay","Concepción del Uruguay",NA,"jdo","lab"
"77","jdolab0300con","Jdo Laboral 3","jdolab3-con@jusentrerios.gov.ar","Laboral","Concordia","Concordia",NA,"jdo","lab"
"78","jdolab0300gch","Jdo Laboral 3","jdolab3-gchu@jusentrerios.gov.ar","Laboral","Gualeguaychú","Gualeguaychú",NA,"jdo","lab"
"79","jdolab0300pna","Jdo Laboral 3","jdolab3-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab"
"80","jdolab0300uru","Jdo Laboral 3","jdolab3-uru@jusentrerios.gov.ar","Laboral","Uruguay","Concepción del Uruguay",NA,"jdo","lab"
"81","jdolab0400con","Jdo Laboral 4","jdolab4-con@jusentrerios.gov.ar","Laboral","Concordia","Concordia",NA,"jdo","lab"
"82","jdolab0400pna","Jdo Laboral 4","jdolab4-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"jdo","lab"
"83","jdopaz0000alc","Jdo Paz Alcaraz","jdopazcat3-alca@jusentrerios.gov.ar","Civil y Comercial","La Paz","Alcaraz",3,"jdo","paz"
"84","jdopaz0000bas","Jdo Paz Basavilbaso","jdopazcat2-baso@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Basavilbaso",2,"jdo","paz"
"85","jdopaz0000bov","Jdo de Paz Bovril","jdopazcat2-bov@jusentrerios.gov.ar","Civil y Comercial","La Paz","Bovril",2,"jdo","paz"
"86","jdopaz0000cas","Jdo Paz Caseros","jdopazcat3-cas@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Caseros",3,"jdo","paz"
"87","jdopaz0000cei","Jdo Paz Ceibas","jdopazcat3-cei@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Ceibas",3,"jdo","paz"
"88","jdopaz0000cer","Jdo Paz Cerrito","jdopazcat2-cer@jusentrerios.gov.ar","Civil y Comercial","Paraná","Cerrito",2,"jdo","paz"
"89","jdopaz0000cha","Jdo Paz Chajarí","jdopazcat1-cha@jusentrerios.gov.ar","Civil y Comercial","Chajarí","Chajarí",1,"jdo","paz"
"90","jdopaz0000col","Jdo Paz Colón","jdopazcat1-col@jusentrerios.gov.ar","Civil y Comercial","Colón","Colón",1,"jdo","paz"
"91","jdopaz0000con","Jdo Paz Concordia","jdopazcat1-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",1,"jdo","paz"
"92","jdopaz0000cre","Jdo Paz Crespo","jdopazcat2-cre@jusentrerios.gov.ar","Civil y Comercial","Paraná","Crespo",2,"jdo","paz"
"93","jdopaz0000dia","Jdo Paz Diamante","jdopazcat1-dia@jusentrerios.gov.ar","Civil y Comercial","Diamante","Diamante",1,"jdo","paz"
"94","jdopaz0000egr","Jdo Paz Estancia Gde","jdopazcat3-egra@jusentrerios.gov.ar","Civil y Comercial","Concordia","Estancia Grande",3,"jdo","paz"
