nro,tproc,as,ccon,finicio,fdesp,fvenc1,fvenc2,fres,tres,mat,justiciables,reccap,iep
12858,RESTRICCIONES A LA CAPACIDAD,S,0,15/09/2015,28/11/2017,22/12/2017,19/02/2018,29/12/2017,7,NA,1,0,jdofam0002gch
11852/5,INCIDENTE,S,1,15/04/2015,19/09/2017,04/10/2017,19/10/2017,29/12/2017,6,NA,3,0,jdofam0002gch
12237,ORDINARIO FILIACION E INDEMNIZACION DE DAÑOS,S,1,03/12/2014,12/10/2017,13/12/2017,19/03/2018,29/12/2017,7,NA,1,0,jdofam0002gch
14440,MEDIDA CAUTELAR (FAMILIA),S,0,21/04/2017,29/11/2017,18/12/2017,02/02/2018,29/12/2017,7,NA,1,0,jdofam0002gch
11507,ORDINARIO DAÑOS Y PERJUICIOS,S,1,13/03/2014,30/11/2017,02/02/2018,06/04/2018,29/12/2017,7,NA,2,0,jdofam0002gch
8133,ORDINARIO FILIACION E INDEMNIZACION DE DAÑOS,S,1,17/06/2010,16/03/2017,17/05/2017,28/07/2017,29/12/2017,7,NA,2,0,jdofam0002gch
13960,ALIMENTOS,S,1,27/07/2016,29/11/2017,06/12/2017,18/12/2017,29/12/2017,7,NA,3,0,jdofam0002gch
9550-4,INCIDENTE LIQUIDACION DE BIENES,S,1,11/03/2016,13/12/2017,01/02/2018,19/02/2018,29/12/2017,6,NA,4,0,jdofam0002gch
11400,ORDINARIO DAÑOS Y PERJUICIOS,S,1,30/12/2013,07/06/2017,17/08/2017,18/10/2017,29/12/2017,7,NA,2,0,jdofam0002gch
5051,HOMOLOGACION DE CONVENIO (CIVIL),S,0,31/10/2006,20/12/2017,06/02/2018,22/02/2018,29/12/2017,7,NA,1,0,jdofam0002gch
14823,ALIMENTOS,S,0,17/05/2017,20/12/2017,06/02/2018,22/02/2018,27/12/2017,7,NA,1,0,jdofam0002gch
8543,DIVORCIO POR MUTUO CONSENTIMIENTO,S,1,03/11/2010,27/12/2017,14/02/2018,28/02/2018,29/12/2017,7,NA,2,0,jdofam0002gch
9550/2,INCIDENTE,S,1,20/11/2015,19/09/2017,04/10/2017,19/10/2017,29/12/2017,6,NA,2,0,jdofam0002gch
14423,ALIMENTOS,S,0,17/04/2017,06/12/2017,18/12/2017,26/12/2017,27/12/2017,7,NA,2,0,jdofam0002gch
11498,ORDINARIO TENENCIA DE HIJOS,S,1,11/03/2014,25/08/2017,25/10/2017,28/12/2017,29/12/2017,7,NA,3,0,jdofam0002gch
14943,ALIMENTOS,S,1,04/10/2017,12/12/2017,21/12/2017,29/12/2017,29/12/2017,7,NA,1,0,jdofam0002gch
1290,HOMOLOGACION DE CONVENIO (CIVIL),s,0,22/08/2016,20/02/2018,06/03/2018,NA,02/03/2018,NA,NA,3,0,jdofam0000tal
1629,HOMOLOGACION DE CONVENIO (CIVIL),s,0,07/02/2017,07/02/2018,23/02/2018,NA,23/02/2018,NA,NA,4,0,jdofam0000tal
1812,ALIMENTOS,S,0,15/05/2017,23/02/2018,02/03/2018,NA,02/03/2018,NA,NA,2,0,jdofam0000tal
1860,INCIDENTE REDUCCION CUOTA ALIMENTARIA,s,0,02/06/2017,21/02/2018,14/03/2018,NA,05/03/2018,NA,NA,1,0,jdofam0000tal
1919,HOMOLOGACION DE CONVENIO (CIVIL),s,0,06/07/2017,13/03/2018,27/03/2018,NA,15/03/2018,NA,NA,2,0,jdofam0000tal
827,COMPENSACION,s,0,20/11/2015,16/03/2018,18/05/2018,NA,03/04/2018,NA,NA,2,0,jdofam0000tal
1298,INCIDENTE AUMENTO CUOTA ALIMENTARIA,s,0,24/08/2016,20/02/2018,20/03/2018,NA,02/03/2018,NA,NA,2,0,jdofam0000tal
1849,ALIMENTOS Y LITIS EXPENSAS,s,0,31/05/2017,16/03/2018,23/03/2018,NA,21/03/2018,NA,NA,3,0,jdofam0000tal
1717,DIVORCIO,S,0,20/03/2017,20/02/2018,17/04/2018,NA,07/03/2018,NA,NA,2,0,jdofam0000tal
2197,HOMOLOGACION DE CONVENIO (CIVIL),s,0,14/12/2017,16/03/2018,04/04/2018,NA,22/03/2018,NA,NA,2,0,jdofam0000tal
1967,HOMOLOGACION DE CONVENIO (CIVIL),s,0,16/08/2017,23/02/2018,09/03/2018,NA,08/03/2018,NA,NA,2,0,jdofam0000tal
2049,DIVORCIO POR MUTUO CONSENTIMIENTO,s,0,19/09/2017,20/02/2018,17/04/2018,NA,07/03/2018,NA,NA,2,0,jdofam0000tal
2060,HOMOLOGACION DE CONVENIO (CIVIL),s,0,20/09/2017,09/03/2018,23/03/2018,NA,12/03/2018,NA,NA,2,0,jdofam0000tal
1783,INSCRIPCION DE SENTENCIA DE TRIBUNALES EXTRANJEROS (PROTECCIONAL),s,0,26/04/2017,16/03/2018,18/04/2018,NA,23/03/2018,NA,NA,2,0,jdofam0000tal
1184,RESTRICCIONES A LA CAPACIDAD,s,0,13/06/2016,16/03/2018,11/04/2018,NA,26/03/2018,NA,NA,2,0,jdofam0000tal
1646,ALIMENTOS,s,0,17/02/2017,27/02/2018,06/03/2018,NA,01/03/2018,NA,NA,2,0,jdofam0000tal
1777,CAMBIO DE NOMBRE,S,0,25/04/2017,13/03/2018,13/04/2018,NA,16/03/2018,NA,NA,1,0,jdofam0000tal
1756,HOMOLOGACION DE CONVENIO (CIVIL),s,0,11/04/2017,20/02/2018,06/03/2018,NA,02/03/2018,NA,NA,2,0,jdofam0000tal
1991,DIVORCIO,s,0,25/08/2017,20/02/2018,17/04/2018,NA,06/03/2018,NA,NA,2,0,jdofam0000tal
2135,MEDIDA CAUTELAR AUTOSATISFACTIVA,s,0,03/11/2017,19/04/2018,05/04/2018,NA,23/03/2018,NA,NA,2,0,jdofam0000tal
2090,HOMOLOGACION DE CONVENIO (CIVIL),s,0,11/10/2017,23/02/2018,09/03/2018,NA,09/03/2018,NA,NA,2,0,jdofam0000tal
276,DIVORCIO,s,0,25/03/2015,15/02/2018,12/04/2018,NA,07/03/2018,NA,NA,2,0,jdofam0000tal
33396,MONITORIO APREMIO,S,0,30/08/2017,19/09/2017,04/10/2017,19/10/2017,19/09/2017,8,NA,2,4828.7,jdopaz0200pna
32947,MONITORIO APREMIO,S,0,05/09/2017,14/09/2017,28/09/2017,16/10/2017,14/09/2017,8,NA,2,5685.35,jdopaz0100pna
32914,MONITORIO EJECUTIVO,S,0,30/08/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,2,6175.26,jdopaz0100pna
33407,MONITORIO APREMIO,S,0,30/08/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,8,NA,1,3864,jdopaz0200pna
19583,AUTORIZACION JUDICIAL,S,0,29/06/2017,05/07/2017,02/08/2017,16/08/2017,05/07/2017,NA,F,2,0,jdofam0300pna
18757,DIVORCIO,S,0,21/03/2017,16/08/2017,14/09/2017,16/10/2017,14/09/2017,NA,F,2,0,jdofam0300pna
33581,MONITORIO EJECUTIVO,S,0,19/09/2017,26/09/2017,11/10/2017,26/10/2017,26/09/2017,8,NA,1,10500,jdopaz0200pna
33563,MONITORIO EJECUTIVO,S,0,13/09/2017,28/09/2017,13/10/2017,30/10/2017,28/09/2017,8,NA,1,4646.62,jdopaz0200pna
